group_code,group_name,sku_code,jan_code,name_variant,color,size,quantity,reorder_point,safety_stock,unit_price_ex_tax,is_active,group_description,sort_order
MWC-123,キルティングジャケット（ダミー24）,MWC-123-GY-S,4519900001872,定番,グレー,S,14,6,11,5646,true,中綿。,23
MWC-123,キルティングジャケット（ダミー24）,MWC-123-NV-M,4519900001889,シーズン限定風,ネイビー,M,22,7,13,5721,true,中綿。,23
MWC-123,キルティングジャケット（ダミー24）,MWC-123-BK-M,4519900001896,定番,ブラック,M,7,8,15,5774,true,中綿。,23
MWC-123,キルティングジャケット（ダミー24）,MWC-123-NV-S,4519900001902,シーズン限定風,ネイビー,S,1,9,12,5832,true,中綿。,23
MWC-123,キルティングジャケット（ダミー24）,MWC-123-GY-M,4519900001919,定番,グレー,M,22,10,14,5870,false,中綿。,23
MWC-123,キルティングジャケット（ダミー24）,MWC-123-WH-M,4519900001926,シーズン限定風,ホワイト,M,24,11,16,5973,false,中綿。,23
MSP-124,ハイネックセーター（ダミー25）,MSP-124-BK-S,4519900001933,定番,ブラック,S,10,5,8,5932,true,メリノ混。,24
MSP-124,ハイネックセーター（ダミー25）,MSP-124-BG-XL,4519900001940,シーズン限定風,ベージュ,XL,17,6,10,5913,true,メリノ混。,24
MSP-124,ハイネックセーター（ダミー25）,MSP-124-GY-S,4519900001957,定番,グレー,S,20,7,12,6020,true,メリノ混。,24
MSP-124,ハイネックセーター（ダミー25）,MSP-124-BG-M,4519900001964,シーズン限定風,ベージュ,M,15,8,14,5977,true,メリノ混。,24
MSP-124,ハイネックセーター（ダミー25）,MSP-124-NV-M,4519900001971,定番,ネイビー,M,4,9,16,6110,true,メリノ混。,24
MSP-124,ハイネックセーター（ダミー25）,MSP-124-BK-M,4519900001988,シーズン限定風,ブラック,M,9,10,13,6168,true,メリノ混。,24
MSP-124,ハイネックセーター（ダミー25）,MSP-124-WH-XL,4519900001995,定番,ホワイト,XL,2,11,15,6135,false,メリノ混。,24
MSP-124,ハイネックセーター（ダミー25）,MSP-124-GY-L,4519900002008,シーズン限定風,グレー,L,6,12,17,6261,false,メリノ混。,24
